13;Roberto;Luis;Administrador de sistemas;35;100000;roberto@bignet.com
14;Daniel;Gutierrez;Administrador de sistemas;34;900000;daniel@bignet.com
15;Miguel;Harper;Ejecutivo de Ventas Senior;36;120000;miguel@bignet.com
16;Monica;Sanchez;Ejecutivo de ventas;30;90000;monica@bignet.com
17;Alicia;Simlai;Ejecutivo de ventas;27;70000;alicia@bignet.com
18;Jose;Iriarte;Ejecutivo de ventas;27;72000;jose@bignet.com
19;Sabrina;Allende;Gerente de Soporte tecnico;32;200000;sabrina@bignet.com
20;Pedro;Campeon;Gerente de finanzas;36;220000;pedro@bignet.com
21;Mariano;Dharma;Presidente;28;300000;mariano@bignet.com
;;;;;;
